,pitch_count,count_woba_value,wraa,is_strike,is_ball,value_change
0,0-0,0.31,0.0,1,0,-0.037
1,0-0,0.31,0.0,0,1,0.032
2,0-1,0.262,-0.037,1,0,-0.051
3,0-1,0.262,-0.037,0,1,0.024
4,0-2,0.196,-0.087,1,0,-0.15
5,0-2,0.196,-0.087,0,1,0.021
6,1-0,0.355,0.035,1,0,-0.035
7,1-0,0.355,0.035,0,1,0.088
8,1-1,0.293,-0.013,1,0,-0.054
9,1-1,0.293,-0.013,0,1,0.048
10,1-2,0.223,-0.067,1,0,-0.171
11,1-2,0.223,-0.067,0,1,0.038
12,2-0,0.436,0.097,1,0,-0.062
13,2-0,0.436,0.097,0,1,0.143
14,2-1,0.352,0.032,1,0,-0.069
15,2-1,0.352,0.032,0,1,0.064
16,2-2,0.273,-0.028,1,0,-0.209
17,2-2,0.273,-0.028,0,1,0.085
18,3-0,0.622,0.239,1,0,-0.177
19,3-0,0.622,0.239,0,1,0.051
20,3-1,0.47,0.123,1,0,-0.066
21,3-1,0.47,0.123,0,1,0.168
22,3-2,0.384,0.057,1,0,-0.294
23,3-2,0.384,0.057,0,1,0.234
